"stno","east","north","t","y"
1,191884.329451246,310027.396412638,1,210.286787580052
1,191884.329451246,310027.396412638,2,210.519129197992
1,191884.329451246,310027.396412638,3,169.45873267756
1,191884.329451246,310027.396412638,4,115.732986547607
1,191884.329451246,310027.396412638,5,105.830427702224
1,191884.329451246,310027.396412638,6,84.0242744611413
1,191884.329451246,310027.396412638,7,132.252151704324
1,191884.329451246,310027.396412638,8,104.517669937555
1,191884.329451246,310027.396412638,9,78.2988931441336
1,191884.329451246,310027.396412638,10,118.358635899533
1,191884.329451246,310027.396412638,11,45.568850993833
1,191884.329451246,310027.396412638,12,70.6542285911179
1,191884.329451246,310027.396412638,13,74.5540576922152
1,191884.329451246,310027.396412638,14,81.7378733009088
1,191884.329451246,310027.396412638,15,103.303701805784
1,191884.329451246,310027.396412638,16,66.0742404857855
1,191884.329451246,310027.396412638,17,83.3023116257068
1,191884.329451246,310027.396412638,18,75.5171849609337
1,191884.329451246,310027.396412638,19,62.7887764432887
1,191884.329451246,310027.396412638,20,57.948766625333
1,191884.329451246,310027.396412638,21,74.1718253869214
1,191884.329451246,310027.396412638,22,108.803524753294
1,191884.329451246,310027.396412638,23,105.584282677527
1,191884.329451246,310027.396412638,24,77.390823968024
1,191884.329451246,310027.396412638,25,24.3530137874489
1,191884.329451246,310027.396412638,26,53.7297044060353
1,191884.329451246,310027.396412638,27,68.5278765445444
1,191884.329451246,310027.396412638,28,75.7381339147714
1,191884.329451246,310027.396412638,29,116.876349313889
1,191884.329451246,310027.396412638,30,194.094277426662
1,191884.329451246,310027.396412638,31,168.060735689749
1,191884.329451246,310027.396412638,32,155.372695779029
1,191884.329451246,310027.396412638,33,134.010893877217
1,191884.329451246,310027.396412638,34,137.978099626161
1,191884.329451246,310027.396412638,35,76.1446048278184
1,191884.329451246,310027.396412638,36,108.242197804885
1,191884.329451246,310027.396412638,37,136.15132266983
1,191884.329451246,310027.396412638,38,69.7910957890276
1,191884.329451246,310027.396412638,39,91.2813980582728
1,191884.329451246,310027.396412638,40,86.9278120982833
1,191884.329451246,310027.396412638,41,104.893977459561
1,191884.329451246,310027.396412638,42,83.0954055735709
1,191884.329451246,310027.396412638,43,115.59049594721
1,191884.329451246,310027.396412638,44,91.4713162102368
1,191884.329451246,310027.396412638,45,118.528636543128
1,191884.329451246,310027.396412638,46,192.541723560744
1,191884.329451246,310027.396412638,47,190.610066496968
1,191884.329451246,310027.396412638,48,213.674249234627
1,191884.329451246,310027.396412638,49,124.741686747555
1,191884.329451246,310027.396412638,50,120.766505204087
1,191884.329451246,310027.396412638,51,176.087831899369
1,191884.329451246,310027.396412638,52,158.116531624985
1,191884.329451246,310027.396412638,53,113.079637548715
1,191884.329451246,310027.396412638,54,132.680559008995
